Topic,scopus_id,year
-1,2-s2.0-85074097481,2019
-1,2-s2.0-85071430358,2019
1,2-s2.0-85070081713,2019
-1,2-s2.0-85068498335,2019
19,2-s2.0-85067136596,2019
-1,2-s2.0-85060575145,2019
23,2-s2.0-85074234051,2019
-1,2-s2.0-85073951216,2019
0,2-s2.0-85075232890,2019
53,2-s2.0-85068134725,2019
-1,2-s2.0-85078025760,2019
16,2-s2.0-85077497918,2019
0,2-s2.0-85074435712,2019
28,2-s2.0-85074117967,2019
6,2-s2.0-85074033422,2019
14,2-s2.0-85073966684,2019
-1,2-s2.0-85073802415,2019
5,2-s2.0-85073409616,2019
19,2-s2.0-85071786432,2019
33,2-s2.0-85071743348,2019
10,2-s2.0-85070079383,2019
-1,2-s2.0-85069876252,2019
-1,2-s2.0-85058667565,2019
8,2-s2.0-85057814526,2019
30,2-s2.0-85053630701,2019
15,2-s2.0-85080043412,2019
-1,2-s2.0-85039542603,2019
11,2-s2.0-85035763973,2019
6,2-s2.0-85067856629,2019
0,2-s2.0-85072051852,2019
23,2-s2.0-85073221478,2019
9,2-s2.0-85063315960,2019
-1,2-s2.0-85066972269,2019
-1,2-s2.0-85055452652,2019
9,2-s2.0-85082962277,2019
2,2-s2.0-85075935869,2019
-1,2-s2.0-85074026225,2019
-1,2-s2.0-85073719800,2019
0,2-s2.0-85073709375,2019
1,2-s2.0-85071786507,2019
43,2-s2.0-85069935263,2019
-1,2-s2.0-85058549745,2019
-1,2-s2.0-85071609008,2019
28,2-s2.0-85071030353,2019
-1,2-s2.0-85067845658,2019
19,2-s2.0-85089704250,2019
-1,2-s2.0-85073551919,2019
22,2-s2.0-85073321414,2019
1,2-s2.0-85071453801,2019
1,2-s2.0-85069467752,2019
-1,2-s2.0-85067824440,2019
13,2-s2.0-85061604913,2019
-1,2-s2.0-85059308290,2019
35,2-s2.0-85038092781,2019
-1,2-s2.0-85068123637,2019
16,2-s2.0-85067035621,2019
14,2-s2.0-85073222083,2019
1,2-s2.0-85062619331,2019
-1,2-s2.0-85066879638,2019
-1,2-s2.0-85067000009,2019
-1,2-s2.0-85058125134,2019
-1,2-s2.0-85052154691,2019
37,2-s2.0-85038076554,2019
22,2-s2.0-85071757276,2019
-1,2-s2.0-85071547726,2019
11,2-s2.0-85071235111,2019
2,2-s2.0-85070301999,2019
51,2-s2.0-85069966713,2019
-1,2-s2.0-85068974870,2019
-1,2-s2.0-85068156588,2019
39,2-s2.0-85061736337,2019
-1,2-s2.0-85059442626,2019
2,2-s2.0-85055573904,2019
25,2-s2.0-85040916006,2019
5,2-s2.0-85065014094,2019
-1,2-s2.0-85066879219,2019
-1,2-s2.0-85020539163,2019
8,2-s2.0-85091718778,2019
35,2-s2.0-85069674049,2019
-1,2-s2.0-85067309836,2019
39,2-s2.0-85062358993,2019
45,2-s2.0-85061779218,2019
-1,2-s2.0-85058057400,2019
28,2-s2.0-85057292819,2019
2,2-s2.0-85056650371,2019
8,2-s2.0-85015245770,2019
1,2-s2.0-85070505546,2019
-1,2-s2.0-85066619870,2019
43,2-s2.0-85055028357,2019
1,2-s2.0-85054617224,2019
-1,2-s2.0-85062864815,2019
-1,2-s2.0-85077585024,2019
10,2-s2.0-85065698821,2019
0,2-s2.0-85073164061,2019
-1,2-s2.0-85066259119,2019
-1,2-s2.0-85065664999,2019
-1,2-s2.0-85061800057,2019
2,2-s2.0-85054041194,2019
-1,2-s2.0-85060592134,2019
2,2-s2.0-85065220360,2019
-1,2-s2.0-85045851085,2019
-1,2-s2.0-85044658549,2019
23,2-s2.0-85065050754,2019
2,2-s2.0-85063285257,2019
-1,2-s2.0-85062949821,2019
19,2-s2.0-85062359091,2019
-1,2-s2.0-85055594492,2019
10,2-s2.0-85055021353,2019
47,2-s2.0-85048232297,2019
4,2-s2.0-85064393083,2019
2,2-s2.0-85060955411,2019
16,2-s2.0-85032788207,2019
16,2-s2.0-85063918731,2019
22,2-s2.0-84994888218,2019
3,2-s2.0-85053274271,2019
